yyyyymmdd,count_distinct_urls,count_distinct_urls_normalized,sum_numMentions,sum_numMentions_normalized,avg_Salience,avgSalience_normalized
23/02/2022,25032,10,53938,10,0.008524165,1
24/02/2022,35820,10,104370,10,0.010349605,10
25/02/2022,33981,10,85473,10,0.009965324,9
26/02/2022,23947,10,59588,10,0.009840729,8
27/02/2022,22034,9,56605,10,0.009392777,6
28/02/2022,29817,10,72055,10,0.010433844,10
01/03/2022,32051,10,77311,10,0.010119656,9
02/03/2022,32193,10,75751,10,0.009599,7
03/03/2022,32531,10,75936,10,0.010231139,9
04/03/2022,31532,10,77158,10,0.010395006,10
05/03/2022,21496,9,52471,10,0.00820406,1
06/03/2022,19493,9,45338,10,0.008698179,2
07/03/2022,27501,10,60909,10,0.009782191,8
08/03/2022,30950,10,67183,10,0.009967603,9
09/03/2022,30467,10,63416,10,0.009120458,4
10/03/2022,31191,10,68922,10,0.009036548,4
11/03/2022,28937,10,63988,10,0.008961597,3
12/03/2022,19049,9,45492,10,0.009037268,4
13/03/2022,18205,9,44632,10,0.008223898,1
14/03/2022,26606,10,61606,10,0.009104478,4
15/03/2022,27843,10,58693,10,0.00898979,3
16/03/2022,25900,10,52957,10,0.008815651,2
17/03/2022,24536,10,50154,10,0.008958649,3
18/03/2022,23480,10,49576,10,0.00867061,2
19/03/2022,18640,9,40342,9,0.008468615,1
20/03/2022,15787,8,34661,9,0.008177517,1
21/03/2022,22386,10,46008,10,0.00913052,4
22/03/2022,22453,10,45605,10,0.008751024,2
23/03/2022,25087,10,50762,10,0.009524091,7
24/03/2022,26755,10,55860,10,0.00956926,7
25/03/2022,26267,10,53388,10,0.008394632,1
26/03/2022,18721,9,41811,9,0.009218881,5
27/03/2022,15997,8,35472,9,0.00834523,1
28/03/2022,23041,10,45321,10,0.009198103,5
29/03/2022,24218,10,45667,10,0.009198337,5
30/03/2022,24720,10,46611,10,0.008772939,2
31/03/2022,24253,10,45029,10,0.008897088,3
01/04/2022,22207,10,41952,9,0.008824086,2
02/04/2022,17020,8,33603,8,0.00861949,2
03/04/2022,15072,8,27732,8,0.009210142,5
04/04/2022,23093,10,45248,10,0.008612985,2
05/04/2022,23566,10,47138,10,0.009584665,7
06/04/2022,24612,10,48004,10,0.00917019,4
07/04/2022,24895,10,48471,10,0.009084587,4
08/04/2022,21948,9,43370,9,0.009269646,5
09/04/2022,16448,8,32568,8,0.010974856,10
10/04/2022,14480,8,28604,8,0.008659953,2
11/04/2022,20863,9,38545,9,0.008276487,1
12/04/2022,24017,10,46397,10,0.009647029,7
13/04/2022,23427,10,45652,10,0.008842884,2
14/04/2022,22965,10,46144,10,0.008231552,1
15/04/2022,20733,9,43768,10,0.007791986,1
16/04/2022,13830,8,27745,8,0.008827455,2
17/04/2022,12892,8,24805,7,0.008664625,2
18/04/2022,18664,9,34794,9,0.011501006,10
19/04/2022,21940,9,42611,9,0.00955176,7
